# file	number	name	category
p01_r02_c01	15111	丸穴ボールベアリング 4個セット	ベアリング・ローラー
p01_r02_c06	15205	1.4mm中空軽量プロペラシャフト	シャフト
p01_r03_c01	15206	2.0mm中空軽量プロペラシャフト	シャフト
p01_r03_c02	15234	スーパーXシャーシ 中空軽量プロペラシャフト	シャフト
p01_r03_c04	15344	ローラー用9mm ボールベアリングセット	ベアリング・ローラー
p01_r03_c05	15345	ローラー用11mm ボールベアリングセット	ベアリング・ローラー
p01_r04_c02	15161	17mm アルミベアリングローラー	ベアリング・ローラー
p01_r04_c06	15160	19mm アルミベアリングローラー	ベアリング・ローラー
p01_r05_c01	15125	19mmプラリング付アルミベアリングローラーセット	ベアリング・ローラー
p01_r06_c04	15059	スタビライザーポールセット	ステー・補強パーツ
p02_r02_c05	15510	ステンレス皿ビスセット（10・12・15・20・25・30mm）	ビス・スペーサー
p02_r02_c06	15527	ステンレス皿ビスセット（6・8・15mm）	ビス・スペーサー
p02_r03_c01	15322	ミニ四駆ビスセットA	ビス・スペーサー
p02_r03_c02	15323	ミニ四駆ビスセットB	ビス・スペーサー
p02_r03_c03	15407	ビスセットD（40mmステンレスビス）	ビス・スペーサー
p02_r03_c04	15473	アルミスペーサーセット（12/6.7/6/3/1.5mm）	ビス・スペーサー
p02_r04_c06	15243	スーパーXシャーシ FRPリヤーローラーステー	ステー・補強パーツ
p02_r05_c01	15242	スーパーXシャーシ FRPマルチ強化プレート	ステー・補強パーツ
p02_r05_c02	15193	FRPマルチ補強プレート	ステー・補強パーツ
p02_r05_c06	15150	FRP強化マウントプレートセット	ステー・補強パーツ
p02_r08_c05	15484	トルクチューン2モーター	モーター
p02_r08_c06	15485	レブチューン2モーター	モーター
p02_r09_c01	15486	アトミックチューン2モーター	モーター
p03_r01_c02	15149	アルミモーターサポート	モーター
p03_r01_c03	15219	小径メッキスポークホイールセット（レストンスポンジタイヤ付）	タイヤ・ホイール
p03_r01_c04	15239	中空ゴム小径タイヤ（ホイール付）	タイヤ・ホイール
p03_r03_c03	15046	レーサーミニ四駆 ゴールドターミナルB	ターミナル・ギヤ
p03_r03_c04	15237	スーパーXシャーシ ゴールドターミナル	ターミナル・ギヤ
p03_r05_c06	15236	ハイスピードカウンターギヤ	ターミナル・ギヤ
